id,slug,title,parent_id,classified_type,has_h5p,has_audio,toggle_count,divi_modules_used,notes
3606,cardiologia-medvoice,Cardiologia Medvoice,2985,audio-lesson,0,1,9,"column,heading,row,section,toggle",
1956,abdome-agudo-obstrutivo,Abdome Agudo Obstrutivo,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2401,abdome-agudo-perfurativo,Abdome Agudo Perfurativo,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1970,abdome-agudo-vascular,Abdome Agudo Vascular,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1390,aborto,Aborto,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
4130,abscesso-pulmonar-simulados,Abscesso Pulmonar Simulados,3872,h5p-quiz,1,0,0,"column,heading,row,section,text",
2359,acidentes-por-animais-peconhentos,Acidentes por Animais Peçonhentos,2354,h5p-quiz,1,0,0,"column,heading,row,section,text",
1705,acls,ACLS,1700,h5p-quiz,1,0,0,"column,heading,row,section,text",
500,aleitamento-materno,Aleitamento Materno,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
503,alimentacao-complementar-do-lactente,Alimentação Complementar do Lactente,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
412,amenorreia,Amenorreia,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2317,anemia-falciforme,Anemia Falciforme,2318,h5p-quiz,1,0,0,"column,heading,row,section,text",
2324,anemia-ferropriva,Anemia Ferropriva,2318,h5p-quiz,1,0,0,"column,heading,row,section,text",
2330,anemia-megaloblastica,Anemia Megaloblástica,2318,h5p-quiz,1,0,0,"column,heading,row,section,text",
1336,anticoncepcao,Anticoncepção,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1938,apendicite,Apendicite,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1081,arboviroses,Arboviroses,2354,h5p-quiz,1,0,0,"column,heading,row,section,text",
2109,artrite-infecciosa,Artrite Infecciosa,2105,h5p-quiz,1,0,0,"column,heading,row,section,text",
2113,artrite-reumatoide,Artrite Reumatoide,2105,h5p-quiz,1,0,0,"column,heading,row,section,text",
2206,asma,Asma,2199,h5p-quiz,1,0,0,"column,heading,row,section,text",
1393,assistencia-clinica-ao-parto,Assistência Clínica ao Parto,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
452,assistencia-pre-natal,Assistência Pré-Natal,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2209,atelectasia,Atelectasia,2199,h5p-quiz,1,0,0,"column,heading,row,section,text",
1474,atencao-ao-idoso,Atenção ao Idoso,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
566,atencao-basica,Atenção Básica,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2233,avc-hemorragico,AVC Hemorrágico,2234,h5p-quiz,1,0,0,"column,heading,row,section,text",
2239,avc-isquemico,AVC Isquêmico,2234,h5p-quiz,1,0,0,"column,heading,row,section,text",
2076,bradiarritmias,Bradiarritmias,1614,h5p-quiz,1,0,0,"column,heading,row,section,text",
1426,bronquiolite,Bronquiolite,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2405,cancer-de-colorretal,Câncer de Colorretal,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
415,cancer-de-endometrio,Câncer de Endométrio,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2409,cancer-de-esofago,Câncer de Esôfago,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1339,cancer-de-mama,Câncer de Mama,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
418,cancer-de-ovario,Câncer de Ovário,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
3771,cardiologia-flashcards,Cardiologia Flashcards,3767,h5p-quiz,1,0,0,"column,heading,row,section,text",
4633,cardiologia-memorecards,Cardiologia Memorecards,4313,h5p-quiz,1,0,0,"column,heading,row,section,text",
2080,cardiopatia-congenita,Cardiopatia Congênita,1614,h5p-quiz,1,0,0,"column,heading,row,section,text",
2242,cefaleias,Cefaleias,2234,h5p-quiz,1,0,0,"column,heading,row,section,text",
1344,cervicite-e-vulvovaginite,Cervicite e Vulvovaginite,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1710,choque,Choque,1700,h5p-quiz,1,0,0,"column,heading,row,section,text",
2295,cirrose,Cirrose,2292,h5p-quiz,1,0,0,"column,heading,row,section,text",
3812,cirurgia-geral-flashcards,Cirurgia Geral Flashcards,3767,h5p-quiz,1,0,0,"column,heading,row,section,text",
4615,cirurgia-geral-revalida-up,Cirurgia Geral Revalida up,4308,h5p-quiz,1,0,0,"column,heading,row,section,text",
5849,cirurgia-pediatrica,Cirurgia Pediátrica,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
424,climaterio,Climatério,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1939,colecistite,Colecistite,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1429,convulsao-febril,Convulsão Febril,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2083,crise-hipertensiva,Crise Hipertensiva,1614,h5p-quiz,1,0,0,"column,heading,row,section,text",
573,declaracao-de-obito,Declaração de Óbito,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2245,delirium,Delirium,2234,h5p-quiz,1,0,0,"column,heading,row,section,text",
2248,demencias,Demências,2234,h5p-quiz,1,0,0,"column,heading,row,section,text",
3774,dermatologia-flashcards,Dermatologia Flashcards,3767,h5p-quiz,1,0,0,"column,heading,row,section,text",
2212,derrame-pleural,Derrame Pleural,2199,h5p-quiz,1,0,0,"column,heading,row,section,text",
506,desnutricao-e-obesidade-na-infancia,Desnutrição e Obesidade na Infância,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2143,diabetes,Diabetes,2141,h5p-quiz,1,0,0,"column,heading,row,section,text",
455,diabetes-da-gestacao,Diabetes da Gestação,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
509,diarreia-e-desidratacao,Diarreia e Desidratação,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2086,dislipidemias,Dislipidemias,1614,h5p-quiz,1,0,0,"column,heading,row,section,text",
2333,disturbio-da-hemostasia-primaria,Distúrbio da Hemostasia Primária,2318,h5p-quiz,1,0,0,"column,heading,row,section,text",
2336,disturbio-da-hemostasia-secundaria,Distúrbio da Hemostasia Secundária,2318,h5p-quiz,1,0,0,"column,heading,row,section,text",
1351,disturbio-do-desenvolvimento-sexual,Distúrbio do Desenvolvimento Sexual,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
513,disturbios-do-crescimento-e-desenvolvimento,Distúrbios do Crescimento e Desenvolvimento,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2271,disturbios-hidroeletroliticos,Distúrbios Hidroeletrolíticos,1116,h5p-quiz,1,0,0,"column,heading,row,section,text",
2416,diverticulite,Diverticulite,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2363,doenca-de-chagas,Doença de Chagas,2354,h5p-quiz,1,0,0,"column,heading,row,section,text",
2251,doenca-de-parkinson,Doença de Parkinson,2234,h5p-quiz,1,0,0,"column,heading,row,section,text",
